run_id,pair_id,role,target_foot,foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,physical_onset_sample,maximum_anchor_drift_m,pre_fall_valid_sample_count,air_event_counted,post_fall_event_counted
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,49,1083,1087,,0.0017118429532274604,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,50,1088,1090,,0.0005890897009521723,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,51,1091,1094,,0.0012195007875561714,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,52,1096,1099,,0.0012888855999335647,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,53,1101,1105,,0.0019879958126693964,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,54,1106,1110,,0.002047952264547348,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,55,1111,1115,,0.002110876841470599,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,56,1117,1120,,0.0014448952861130238,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,57,1121,1124,,0.001456298166885972,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,58,1125,1127,,0.0007361263851635158,2,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,59,1128,1131,,0.001487825415097177,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,60,1132,1135,,0.0014967980096116662,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,61,1136,1139,,0.001506544416770339,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,62,1140,1143,,0.0015017283149063587,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,63,1144,1148,,0.002220966387540102,4,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,64,1149,1152,,0.001464548520743847,3,False,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,right,right,65,1153,1157,,0.0021800831891596317,4,False,False
