family,seed,fold,run_id,foot,contact_loss_resets,touchdown_resets,score_recovery_resets,previous_episode_latch_carryover,cross_foot_owner_mutations,simultaneous_crossings,simultaneous_selected_left,simultaneous_selected_right,median_simultaneous_score_difference
S4-C,202608222,2,sand_hardened_0p10_v02,left,111,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_hardened_0p10_v02,right,129,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,ice_native_0p10_v02,left,104,42,5,0,0,0,0,0,-1.0
S4-C,202608222,2,ice_native_0p10_v02,right,92,35,3,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_1of3_0p10_v02,left,109,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_1of3_0p10_v02,right,118,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_2of3_0p10_v02,left,67,7,3,0,0,1,0,1,0.06769429909694247
S4-C,202608222,2,sand_solref_interpolation_2of3_0p10_v02,right,139,11,1,0,0,1,0,1,0.06769429909694247
S4-C,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,left,61,5,4,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,right,111,16,1,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,left,90,5,2,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,right,149,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,marble_native_0p15_v02,left,117,6,0,0,0,0,0,0,-1.0
S4-C,202608222,2,marble_native_0p15_v02,right,131,8,0,0,0,0,0,0,-1.0
S4-C,202608222,2,concrete_native_0p15_v02,left,116,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,concrete_native_0p15_v02,right,131,6,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_hardened_0p15_v02,left,112,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_hardened_0p15_v02,right,129,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,ice_native_0p15_v02,left,112,37,3,0,0,0,0,0,-1.0
S4-C,202608222,2,ice_native_0p15_v02,right,91,39,4,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_1of3_0p15_v02,left,109,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_1of3_0p15_v02,right,118,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_2of3_0p15_v02,left,109,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_2of3_0p15_v02,right,110,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p15_v02,left,108,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p15_v02,right,109,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p15_v02,left,106,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p15_v02,right,109,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,marble_native_0p20_v02,left,120,6,0,0,0,0,0,0,-1.0
S4-C,202608222,2,marble_native_0p20_v02,right,131,8,0,0,0,0,0,0,-1.0
S4-C,202608222,2,concrete_native_0p20_v02,left,119,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,concrete_native_0p20_v02,right,131,6,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_hardened_0p20_v02,left,114,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_hardened_0p20_v02,right,126,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,ice_native_0p20_v02,left,118,54,3,0,0,0,0,0,-1.0
S4-C,202608222,2,ice_native_0p20_v02,right,93,59,7,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_1of3_0p20_v02,left,109,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_1of3_0p20_v02,right,116,5,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_2of3_0p20_v02,left,125,5,3,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_2of3_0p20_v02,right,203,4,1,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,left,107,4,3,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,right,203,4,0,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,left,129,3,1,0,0,0,0,0,-1.0
S4-C,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,right,200,5,0,0,0,0,0,0,-1.0
