run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination
cal_control_0p15_G1,v6_cal_pair_05,control,left,left,none,1,304,683,304,,,[],0.008006631396710873,True,,,,0,0,10,13,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,left,none,2,946,1290,946,,,[],0.0020923789124935865,True,,,,0,0,10,10,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,left,none,3,1555,1885,1555,,,[],0.0017171039944514632,True,,,,0,0,10,14,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,left,none,4,2152,2484,2152,,,[],0.0019138179486617446,True,,,,0,0,10,14,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,left,none,5,2749,3000,2749,,,[],0.00234282948076725,True,,,,0,0,10,10,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,right,none,0,37,328,37,,,[],0.003013653913512826,True,,,,0,0,10,10,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,right,none,1,642,984,642,,,[],0.004986552055925131,True,,,,0,0,10,10,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,right,none,2,1251,1590,1251,,,[],0.005277235526591539,True,,,,0,0,10,10,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,right,none,3,1597,1601,1597,,,[],0.0003958773158956319,False,,,,0,0,4,4,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,right,none,4,1847,2185,1847,,,[],0.005715380422770977,True,,,,0,0,10,10,False
cal_control_0p15_G1,v6_cal_pair_05,control,left,right,none,5,2445,2784,2445,,,[],0.006306176073849201,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,0,39,89,39,,,[],0.000685513427015394,True,,,,0,0,10,19,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,1,304,668,304,,,[],0.03481283783912659,True,,,,0,0,10,21,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,2,925,1142,925,,,[],0.0065725017338991165,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,3,1143,1282,1143,,,[],0.002077400218695402,True,,,,0,0,10,12,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,4,1540,1851,1540,,,[],0.030991584062576294,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,5,1852,1861,1852,,,[],0.0013570836745202541,False,,,,0,0,9,9,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,6,2131,2387,2131,,,[],0.016590029001235962,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,7,2388,2465,2388,,,[],0.0028476102743297815,True,,,,0,0,10,15,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,8,2732,2950,2732,,,[],0.006116311065852642,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,left,none,9,2951,3000,2951,,,[],0.0017206036718562245,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,right,none,0,37,328,37,,,[],0.0030143018811941147,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,right,none,1,630,947,630,,,[],0.006722313351929188,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,right,none,2,1240,1567,1240,,,[],0.005380124785006046,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,right,none,3,1832,2163,1832,,,[],0.008261199109256268,True,,,,0,0,10,10,False
cal_positive_0p15_G2,v6_cal_pair_06,positive,left,right,none,4,2429,2762,2429,,,[],0.006788747385144234,True,,,,0,0,10,10,False
cal_control_0p15_G2,v6_cal_pair_06,control,left,left,none,0,39,89,39,,,[],0.000685513427015394,True,,,,0,0,10,19,False
cal_control_0p15_G2,v6_cal_pair_06,control,left,left,none,1,304,666,304,,,[],0.008021146059036255,True,,,,0,0,10,10,False
cal_control_0p15_G2,v6_cal_pair_06,control,left,left,none,2,667,680,667,,,[],0.0007693413062952459,True,,,,0,0,10,10,False
cal_control_0p15_G2,v6_cal_pair_06,control,left,left,none,3,945,1282,945,,,[],0.002188416663557291,True,,,,0,0,10,12,False
cal_control_0p15_G2,v6_cal_pair_06,control,left,left,none,4,1556,1882,1556,,,[],0.0015703376848250628,True,,,,0,0,10,11,False
cal_control_0p15_G2,v6_cal_pair_06,control,left,left,none,5,2152,2473,2152,,,[],0.002109064254909754,True,,,,0,0,10,10,False
cal_control_0p15_G2,v6_cal_pair_06,control,left,left,none,6,2474,2482,2474,,,[],0.0003060026210732758,False,,,,0,0,8,8,False
cal_control_0p15_G2,v6_cal_pair_06,control,left,left,none,7,2750,3000,2750,,,[],0.0023003232199698687,True,,,,0,0,10,10,False
