row_type,evaluation_role,phase_segment_counts,sample_agreement,touchdown_events,touchdown_detected,touchdown_latency_median_ms,touchdown_latency_p95_abs_ms,contact_state_ready,diagnostic_phase,inferred_phase,sample_count,run_id,episode_index,physical_touchdown_sample,inferred_touchdown_sample,phase_inference_latency_ms
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,86,2675,2675,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,87,2688,2688,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,88,2715,2734,19
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,89,2723,2734,11
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,90,2734,2734,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,91,2743,2734,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,92,2747,2743,-4
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,93,2753,2743,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,94,2763,2753,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,95,2769,2763,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,96,2777,2769,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,97,2785,2777,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,98,2790,2785,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,99,2794,2785,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,100,2802,2794,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,101,2819,2819,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,102,2880,2880,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_1of3_0p15_v02,0,79,79,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_1of3_0p15_v02,1,797,797,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_1of3_0p15_v02,2,1376,1376,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_1of3_0p15_v02,3,1981,1981,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_1of3_0p15_v02,4,2580,2580,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p15_v02,0,65,65,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p15_v02,1,796,796,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p15_v02,2,1373,1373,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p15_v02,3,1979,1979,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p15_v02,4,2578,2578,0
touchdown_timing,,,,,,,,,,,,marble_native_0p20_v02,0,140,140,0
touchdown_timing,,,,,,,,,,,,marble_native_0p20_v02,1,802,802,0
touchdown_timing,,,,,,,,,,,,marble_native_0p20_v02,2,1391,1391,0
touchdown_timing,,,,,,,,,,,,marble_native_0p20_v02,3,1996,1996,0
touchdown_timing,,,,,,,,,,,,marble_native_0p20_v02,4,2594,2594,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p20_v02,0,141,141,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p20_v02,1,804,804,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p20_v02,2,1123,1396,273
touchdown_timing,,,,,,,,,,,,concrete_native_0p20_v02,3,1396,1396,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p20_v02,4,2003,2003,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p20_v02,5,2598,2598,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p20_v02,0,122,122,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p20_v02,1,141,141,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p20_v02,2,803,803,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p20_v02,3,1384,1384,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p20_v02,4,1988,1988,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p20_v02,5,2587,2587,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,0,78,78,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,1,175,175,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,2,210,210,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,3,226,226,0
touchdown_timing,,,,,,,,,,,,ice_native_0p20_v02,4,266,266,0
