run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination,variation_index,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,1,398,686,398,,,[],0.05151664465665817,True,,,,0,0,10,16,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,2,688,737,688,,,[],0.010066376999020576,True,,,,0,0,10,10,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,3,999,1288,999,1278,280,"[[1278,1280],[1284,1288]]",0.06039799377322197,True,,,,0,0,10,12,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,4,1289,1344,1289,,,[],0.006767041049897671,True,,,,0,0,10,14,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,5,1600,1866,1600,,,[],0.03761207312345505,True,,,,0,0,10,10,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,6,1867,1952,1867,,,[],0.007139626424759626,True,,,,0,0,10,10,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,7,2205,2554,2205,,,[],0.03151463344693184,True,,,,0,0,10,10,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,left,left,8,2806,3000,2806,,,[],0.005339094903320074,True,,,,0,0,10,10,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,right,left,0,49,425,49,,,[],0.0032141872216016054,True,,,,0,0,10,10,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l03,v8_pair_03,positive,left,right,left,1,706,1024,706,,,[],0.009127543307840824,True,,,,0,0,10,10,False,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
