pair_id,positive_run_id,control_run_id,speed_mps,target_foot,target_phase,severity,category,history_start_sample,history_end_sample_inclusive,future_sample_count,finite_comparison_values,mean_absolute_pair_difference,maximum_absolute_pair_difference,positive_mean,control_mean
v5_pair_011,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,target_foot_imu,72,272,0,1206,3.4915245649617357,84.74649441242218,1.597777618456959,1.61515968328643
v5_pair_011,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contralateral_fsr,72,272,0,804,0.1434992217454151,13.365486145019531,11.377496849337769,11.424691140521967
v5_pair_011,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contralateral_imu,72,272,0,1206,0.7141353612202224,6.8220672607421875,2.2187021415909216,1.91255888815348
v5_pair_011,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,bilateral_asymmetry,72,272,0,2010,18.178793589649977,175.3927001953125,23.552126349147926,24.55367727667505
v5_pair_011,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,contact_anchor_drift_label_only,72,272,0,201,0.010211992076371069,0.04635148216038942,0.014034219166097133,0.004232123322710765
v5_pair_012,positive_0p10_left_mid_late_stance_native_strong_ice_v0,control_0p10_left_mid_late_stance_native_strong_ice_v0,0.1,left,mid_late_stance,native_strong_ice,target_foot_fsr,657,857,0,804,31.37070927338962,278.2822570800781,74.40218732187256,81.41172287653927
v5_pair_012,positive_0p10_left_mid_late_stance_native_strong_ice_v0,control_0p10_left_mid_late_stance_native_strong_ice_v0,0.1,left,mid_late_stance,native_strong_ice,target_foot_imu,657,857,0,1206,2.1731401862256314,71.22071877447888,2.025390812003691,1.6224678988789965
v5_pair_012,positive_0p10_left_mid_late_stance_native_strong_ice_v0,control_0p10_left_mid_late_stance_native_strong_ice_v0,0.1,left,mid_late_stance,native_strong_ice,contralateral_fsr,657,857,0,804,6.6044575942689505,272.18231201171875,6.793108237916558,0.1886506436476067
v5_pair_012,positive_0p10_left_mid_late_stance_native_strong_ice_v0,control_0p10_left_mid_late_stance_native_strong_ice_v0,0.1,left,mid_late_stance,native_strong_ice,contralateral_imu,657,857,0,1206,1.4370870374037037,74.15137195587158,1.895354936943688,2.006977507119916
v5_pair_012,positive_0p10_left_mid_late_stance_native_strong_ice_v0,control_0p10_left_mid_late_stance_native_strong_ice_v0,0.1,left,mid_late_stance,native_strong_ice,bilateral_asymmetry,657,857,0,2010,15.872378431596974,548.5061645507812,27.12165316438108,32.25852312642469
v5_pair_012,positive_0p10_left_mid_late_stance_native_strong_ice_v0,control_0p10_left_mid_late_stance_native_strong_ice_v0,0.1,left,mid_late_stance,native_strong_ice,contact_anchor_drift_label_only,657,857,0,201,0.00872726335920511,0.052263440942624584,0.009026180680862058,0.0003002479754277419
v5_pair_013,positive_0p10_left_mid_late_stance_native_strong_ice_v1,control_0p10_left_mid_late_stance_native_strong_ice_v1,0.1,left,mid_late_stance,native_strong_ice,target_foot_fsr,369,569,0,804,21.5748880828791,160.0966796875,78.80442044834852,80.98641976461148
v5_pair_013,positive_0p10_left_mid_late_stance_native_strong_ice_v1,control_0p10_left_mid_late_stance_native_strong_ice_v1,0.1,left,mid_late_stance,native_strong_ice,target_foot_imu,369,569,0,1206,2.1498698680220114,81.4764143973589,2.850329194300975,1.6075761996914417
v5_pair_013,positive_0p10_left_mid_late_stance_native_strong_ice_v1,control_0p10_left_mid_late_stance_native_strong_ice_v1,0.1,left,mid_late_stance,native_strong_ice,contralateral_fsr,369,569,0,804,0.0,0.0,0.0,0.0
v5_pair_013,positive_0p10_left_mid_late_stance_native_strong_ice_v1,control_0p10_left_mid_late_stance_native_strong_ice_v1,0.1,left,mid_late_stance,native_strong_ice,contralateral_imu,369,569,0,1206,0.5926585956615391,17.538230895996094,2.3971685260879094,2.050966556703929
v5_pair_013,positive_0p10_left_mid_late_stance_native_strong_ice_v1,control_0p10_left_mid_late_stance_native_strong_ice_v1,0.1,left,mid_late_stance,native_strong_ice,bilateral_asymmetry,369,569,0,2010,9.84717963892151,160.0966796875,31.793664578409558,32.128533690577534
v5_pair_013,positive_0p10_left_mid_late_stance_native_strong_ice_v1,control_0p10_left_mid_late_stance_native_strong_ice_v1,0.1,left,mid_late_stance,native_strong_ice,contact_anchor_drift_label_only,369,569,0,201,0.00605353074083429,0.0479487725533545,0.013499459828625418,0.007445929087791129
v5_pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,0.1,left,mid_late_stance,native_strong_ice,target_foot_fsr,1333,1533,0,804,60.09380936956228,151.72315216064453,77.24714052640087,84.34414251764022
v5_pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,0.1,left,mid_late_stance,native_strong_ice,target_foot_imu,1333,1533,0,1206,2.4866081998767724,98.75432191975415,2.1853731154001204,1.631121201725665
v5_pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,0.1,left,mid_late_stance,native_strong_ice,contralateral_fsr,1333,1533,0,804,0.09647245786676359,24.180892944335938,0.0,0.09647245786676359
v5_pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,0.1,left,mid_late_stance,native_strong_ice,contralateral_imu,1333,1533,0,1206,2.426956684153848,20.636881828308105,2.3903458193038163,2.495971318803719
v5_pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,0.1,left,mid_late_stance,native_strong_ice,bilateral_asymmetry,1333,1533,0,2010,26.459090191716953,151.72315216064453,30.775872587840727,33.18015795128796
v5_pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,0.1,left,mid_late_stance,native_strong_ice,contact_anchor_drift_label_only,1333,1533,0,201,0.011322966311416537,0.05110474512912333,0.012501002331055812,0.0011780360196392743
v5_pair_015,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,0.1,left,mid_late_stance,moderate_ice_preregistered,target_foot_fsr,436,636,0,804,0.8763171822870549,317.9189758300781,30.568472261156014,30.989786983129395
v5_pair_015,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,0.1,left,mid_late_stance,moderate_ice_preregistered,target_foot_imu,436,636,0,1206,0.14561761163265566,25.361021041870117,1.160706293328771,1.166089386107098
v5_pair_015,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,0.1,left,mid_late_stance,moderate_ice_preregistered,contralateral_fsr,436,636,0,804,0.7081270152656594,11.717729568481445,58.00103383570613,57.84353941111867
v5_pair_015,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,0.1,left,mid_late_stance,moderate_ice_preregistered,contralateral_imu,436,636,0,1206,0.015553025250453023,3.1231307983398438,1.4380614176902518,1.4347176994161597
